iter	RMSE
0	0.2968378176
1	0.2965979702
2	0.2963270865
3	0.295922987
4	0.2955633041
5	0.2952744249
6	0.2948924223
7	0.2946386997
8	0.2944074722
9	0.2941740197
10	0.2938414579
11	0.2935659811
12	0.2932862732
13	0.2929094314
14	0.2926057206
15	0.2923276626
16	0.2921931614
17	0.2919079894
18	0.2916707363
19	0.2914333979
20	0.2913385106
21	0.2911974367
22	0.2908516139
23	0.2905952912
24	0.2904611807
25	0.2902660107
26	0.2901267733
27	0.2898657906
28	0.2897541843
29	0.2896140088
30	0.2894752918
31	0.2892802762
32	0.2891193149
33	0.2888573655
34	0.2886329082
35	0.2885544223
36	0.2883115537
37	0.2881874295
38	0.2880459257
39	0.2878522008
40	0.2877211809
41	0.2874450641
42	0.2871889578
43	0.2869542554
44	0.2868101118
45	0.2865839075
46	0.2864594595
47	0.2863735405
48	0.2862081728
49	0.2860688159
50	0.2858870109
51	0.2857371783
52	0.2855534422
53	0.2853615942
54	0.2851918701
55	0.2850647861
56	0.284939175
57	0.2846890024
58	0.2845403549
59	0.2842910745
60	0.2840885037
61	0.2839532133
62	0.2837941805
63	0.2835550488
64	0.2833344954
65	0.2831073973
66	0.2829437685
67	0.2828361816
68	0.28268471
69	0.2825826926
70	0.2824744658
71	0.2822778262
72	0.2821700221
73	0.2820010257
74	0.281923488
75	0.2817318591
76	0.281647252
77	0.281525913
78	0.2814355884
79	0.2813030748
80	0.2811468638
81	0.2809468238
82	0.2808204292
83	0.2806742666
84	0.2805953015
85	0.2803783977
86	0.2802633205
87	0.2801841467
88	0.2801027603
89	0.2800121917
90	0.2799121354
91	0.2797766396
92	0.2796566103
93	0.2794900034
94	0.2793410688
95	0.2791585535
96	0.2790112126
97	0.2788308085
98	0.2787241571
99	0.2786132407
100	0.2784895333
101	0.2783271573
102	0.2781325229
103	0.2779540663
104	0.2777952276
105	0.2776510438
106	0.2775643468
107	0.2773627699
108	0.2772705135
109	0.2771329499
110	0.2769851477
111	0.276874267
112	0.2767943825
113	0.2766495196
114	0.2764729049
115	0.276250787
116	0.2760597581
117	0.2759630437
118	0.2758629635
119	0.2756754517
120	0.2755008358
