iter	Passed	Remaining
0	15	18383
1	29	17388
2	44	17675
3	57	17256
4	71	17003
5	85	16965
6	99	16971
7	112	16815
8	126	16764
9	141	16856
10	156	16946
11	170	16874
12	184	16813
13	198	16780
14	211	16739
15	225	16716
16	239	16688
17	254	16686
18	270	16802
19	284	16779
20	298	16748
21	312	16721
22	327	16752
23	341	16730
24	356	16739
25	370	16722
26	385	16727
27	403	16896
28	419	16947
29	434	16955
30	448	16926
31	463	16929
32	478	16911
33	491	16841
34	507	16879
35	523	16924
36	537	16898
37	551	16874
38	566	16852
39	580	16831
40	594	16801
41	607	16747
42	623	16763
43	639	16794
44	653	16776
45	667	16734
46	680	16692
47	695	16692
48	710	16683
49	723	16635
50	737	16617
51	753	16641
52	768	16634
53	782	16608
54	796	16581
55	812	16589
56	825	16559
57	839	16532
58	856	16566
59	875	16625
60	892	16669
61	906	16647
62	921	16634
63	937	16641
64	953	16644
65	968	16633
66	982	16607
67	995	16568
68	1010	16563
69	1024	16540
70	1039	16534
71	1054	16527
72	1069	16504
73	1083	16487
74	1096	16454
75	1111	16438
76	1125	16412
77	1140	16405
78	1156	16406
79	1169	16377
80	1184	16359
81	1198	16343
82	1212	16322
83	1226	16292
84	1241	16287
85	1257	16291
86	1272	16280
87	1285	16250
88	1300	16233
89	1314	16212
90	1328	16193
91	1345	16200
92	1360	16197
93	1376	16198
94	1391	16182
95	1404	16153
96	1419	16139
97	1434	16127
98	1449	16120
99	1462	16092
100	1478	16085
101	1494	16087
102	1511	16098
103	1527	16092
104	1541	16078
105	1558	16081
106	1573	16075
107	1589	16067
108	1604	16057
109	1621	16071
110	1639	16080
111	1654	16072
112	1668	16053
113	1684	16044
114	1699	16034
115	1714	16023
116	1730	16022
117	1746	16018
118	1761	16002
119	1774	15973
120	1787	15943
121	1801	15921
122	1814	15890
123	1829	15874
124	1843	15851
125	1859	15850
126	1877	15860
127	1892	15849
128	1907	15839
129	1923	15829
130	1938	15815
131	1955	15818
132	1970	15805
133	1985	15796
134	2004	15811
135	2019	15795
136	2034	15788
137	2050	15782
138	2064	15758
139	2078	15738
140	2091	15710
141	2104	15681
142	2119	15663
143	2132	15638
144	2146	15615
145	2159	15590
146	2175	15580
147	2188	15559
148	2202	15537
149	2214	15504
150	2230	15494
151	2246	15488
152	2261	15473
153	2275	15453
154	2287	15423
155	2300	15395
156	2314	15372
157	2327	15347
158	2340	15323
159	2354	15301
160	2369	15292
161	2383	15270
162	2396	15249
163	2411	15235
164	2425	15215
165	2438	15191
166	2454	15180
167	2472	15189
168	2489	15186
169	2506	15187
170	2522	15177
171	2536	15162
172	2554	15165
173	2572	15166
174	2588	15161
175	2605	15158
176	2625	15174
177	2648	15206
178	2679	15283
179	2700	15304
180	2721	15319
181	2743	15346
182	2768	15383
183	2791	15415
184	2811	15422
185	2828	15420
186	2847	15426
187	2871	15459
188	2891	15469
189	2910	15470
190	2926	15461
191	2941	15444
192	2959	15440
193	2975	15429
194	2988	15404
195	3002	15382
196	3016	15357
197	3030	15336
198	3044	15312
199	3057	15289
200	3071	15265
201	3084	15239
202	3097	15213
203	3111	15189
204	3124	15164
205	3138	15144
206	3152	15123
207	3167	15106
208	3180	15082
209	3194	15061
210	3208	15037
211	3221	15015
212	3236	14998
213	3250	14975
214	3262	14946
215	3278	14936
216	3295	14929
217	3312	14919
218	3326	14899
219	3340	14881
220	3357	14872
221	3371	14853
222	3387	14839
223	3403	14830
224	3421	14825
225	3439	14823
226	3456	14817
227	3474	14813
228	3493	14812
229	3511	14807
230	3531	14812
231	3561	14861
232	3585	14879
233	3605	14884
234	3623	14879
235	3641	14875
236	3660	14874
237	3689	14913
238	3708	14912
239	3727	14909
240	3758	14957
241	3788	14995
242	3815	15027
243	3833	15021
244	3854	15025
245	3876	15031
246	3907	15076
247	3929	15082
248	3963	15136
249	3983	15136
250	4000	15124
251	4019	15120
252	4037	15113
253	4053	15095
254	4069	15081
255	4086	15067
256	4101	15050
257	4119	15040
258	4134	15022
259	4151	15008
260	4167	14994
261	4184	14982
262	4201	14967
263	4216	14950
264	4232	14934
265	4247	14913
266	4262	14896
267	4277	14876
268	4293	14858
269	4307	14836
270	4322	14818
271	4336	14795
272	4351	14774
273	4366	14758
274	4382	14742
275	4398	14724
276	4412	14704
277	4427	14685
278	4443	14667
279	4459	14653
280	4474	14633
281	4489	14615
282	4505	14599
283	4520	14581
284	4536	14565
285	4553	14552
286	4568	14534
287	4583	14515
288	4598	14496
289	4613	14476
290	4628	14458
291	4642	14435
292	4656	14414
293	4672	14398
294	4688	14383
295	4705	14371
296	4720	14352
297	4735	14333
298	4750	14314
299	4764	14294
300	4779	14274
301	4794	14257
302	4809	14236
303	4823	14216
304	4840	14205
305	4857	14192
306	4872	14174
307	4891	14166
308	4907	14149
309	4925	14139
310	4940	14123
311	4956	14108
312	4973	14093
313	4986	14069
314	5000	14049
315	5013	14024
316	5027	14003
